angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,label
-129.95306978375385,-41.62788819036448,-29.23696521456227,50.046930216246174,-33.10235166899088,-29.478533496727128,136.8704528413227,-132.86813668293252,-130.74039399287008,131.8535230964155,-132.749274847651,-130.7647144496293,Downdog
-77.82760764524532,-57.697642096413006,-48.59507360802218,102.17239235475469,-57.611096191066274,-41.92834175039126,139.30386051862158,-118.24181057027928,-123.11143742990411,137.77330286356968,-117.14602990501427,-122.47287333180584,Downdog
-140.17959614257,-49.579384204379394,-31.123794547360294,39.820403857429994,-35.37267560377808,-36.79586194639888,139.0425255087064,-117.28263140226044,-119.5056373704939,135.85628807181132,-120.19829925701248,-120.40556556418736,Downdog
112.85074908815814,-137.7070471449476,-150.40138360354084,-67.14925091184186,-136.72734691639576,-151.40369448817276,48.490398202679124,-72.02359851886098,-42.038703004220636,46.275546755660756,-77.1149646508819,-39.31088944100293,Downdog
8.276474910675143,-128.91148466857632,-135.85996902548692,-171.72352508932485,-123.18763526219875,-129.6161220333901,49.798269919209034,-66.02140370849979,-67.15293652232275,50.196637664038875,-65.7175125341631,-66.75731648843063,Downdog
68.14802743918027,-130.11092979263412,-144.6795233734411,-111.85197256081975,-126.45609575710527,-145.33210512709715,56.014613446406756,-56.42365385282371,-57.42829125508968,55.322539235060006,-53.660959844115865,-57.86434127731227,Downdog
122.45844740956365,-134.98832983421727,-139.36748903328396,-57.54155259043637,-140.0462570688645,-143.46420847905597,42.924618969969,-50.70996308820369,-59.1640452515383,42.149119358713385,-50.27165434225039,-59.731604064214174,Downdog
33.77668152103664,-128.04035740160774,-148.647647493464,-146.22331847896334,-119.65458314908635,-139.58027274930438,45.62026833268275,-65.93563465905909,-51.409016756255866,48.22336457192228,-65.80867230345824,-49.74455996275182,Downdog
73.71913203162539,-127.98281087027293,-160.28429000334015,-106.28086796837461,-128.26150222292486,-155.6257420921272,49.14808669730095,-52.62373586509503,-47.366547945536794,48.449530257713896,-51.891245640432345,-49.41870703929903,Downdog
-5.098260574240933,-135.185924423795,-144.51557888635833,174.90173942575908,-130.87984773610492,-145.7860759140237,56.27448601251523,-55.61051776372799,-50.547789851206474,57.50978464790176,-56.92198538816168,-51.501102367819776,Downdog
-150.35209683924566,-41.651782654728414,-26.127589181297495,29.647903160754346,-41.93899685310959,-26.390927299003078,133.6126205117573,-118.64839585215587,-123.77626180742236,129.57803125607947,-120.94866301536617,-124.0266854459361,Downdog
-1.543251681012079,-136.0871507392181,-156.5970958563345,178.4567483189879,-133.2063721572736,-156.87739646007202,49.56320927231496,-50.4198852365915,-56.84074616668091,49.47213527800409,-50.14956754560628,-57.43278017859387,Downdog
-20.115293183539507,-115.25085502404116,-135.14623643111688,159.88470681646052,-121.65096314771708,-136.5921883637711,48.5110284130337,-61.48479468716519,-58.035333782985525,50.46872542016688,-63.1764274861225,-57.73613666667771,Downdog
136.45297902997416,-135.85387477505864,-144.44080840238675,-43.54702097002585,-134.07806932122466,-144.36678652688158,31.920455419687286,-58.936854684134296,-58.78872328201296,31.550764102529776,-59.40607701074534,-60.182247719979046,Downdog
-150.35209683924566,-41.651782654728414,-26.127589181297495,29.647903160754346,-41.93899685310959,-26.390927299003078,133.6126205117573,-118.64839585215587,-123.77626180742236,129.57803125607947,-120.94866301536617,-124.0266854459361,Downdog
-5.098260574240933,-135.185924423795,-144.51557888635833,174.90173942575908,-130.87984773610492,-145.7860759140237,56.27448601251523,-55.61051776372799,-50.547789851206474,57.50978464790176,-56.92198538816168,-51.501102367819776,Downdog
114.51582673058263,-99.23089049204565,-115.89833148827428,-65.48417326941738,-103.27740343586197,-115.8661324118806,38.02690291516699,-58.413255415183656,-61.145693223202734,33.41898151454004,-58.07070692100536,-60.84869035612175,Downdog
72.65706344027656,-118.9658842486078,-142.8701606107763,-107.34293655972346,-122.3915215815171,-142.13688757224133,44.2242500572241,-54.910635039164106,-56.333728540691325,43.3269054336668,-55.040428394802206,-56.17379835715076,Downdog
-59.54416843799705,-98.95827079033316,-91.32941251511133,120.45583156200296,-96.00905631244284,-90.8433818350905,-163.11931030692446,-159.6957901660456,-161.60752261209234,-167.00413918111062,-156.23329546020466,-160.92958308389782,Downdog
-157.003797355436,-65.36711326892227,-52.436606103999836,22.99620264456402,-52.76548168147206,-53.137747572422406,147.39745443149437,-120.85736125137164,-123.77527966156748,142.096767477643,-122.97451259800067,-123.91102280737128,Downdog
178.5253318928258,-46.43551594889167,-36.327738083987896,-1.4746681071742045,-52.396537366884026,-42.86674029695517,134.84573824318534,-121.4109663780749,-132.67756419627904,133.97876733214068,-72.70506598601924,-81.55083242975334,Downdog
-109.27042388529358,-52.81872130100075,-28.57609676586409,70.72957611470642,-50.89582390735229,-28.668779087605596,123.92771668680702,-124.84781982062694,-126.35656543722934,124.13283185974382,-126.7758516331716,-125.2608278069163,Downdog
-11.43203418690952,-73.57070651111904,-37.46669653032041,168.56796581309047,-72.44136895764866,-34.37116199470655,137.24214891409983,-122.76581068665998,-120.80371777842446,139.73999759946156,-118.83908636253145,-116.76189459405532,Downdog
80.74547355396001,-112.09918067673286,-126.47139266880147,-99.25452644603999,-111.48438051163242,-128.0516161700637,41.762261883343925,-57.559661311050796,-62.14364700035025,38.70913239826479,-55.962859490955296,-63.54348152456105,Downdog
-114.08721025806338,-52.80186585763038,-43.08525102735226,65.91278974193663,-52.90628557277231,-38.77925007669912,142.68028162615795,-127.81754500499352,-131.0609619413269,140.58263355459263,-128.3785907875338,-129.2432515560286,Downdog
